region,province,city,barangay,precinct,position,candidate,votes,percentage
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PRESIDENT,Candidate,Votes,Percentage
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PRESIDENT,"ABELLA, ERNIE (IND)",3,0.46 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PRESIDENT,"DE GUZMAN, LEODY (PLM)",0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PRESIDENT,"DOMAGOSO, ISKO MORENO (AKSYON)",25,3.84 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PRESIDENT,"GONZALES, NORBERTO (PDSP)",1,0.15 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PRESIDENT,"LACSON, PING (PDR)",9,1.38 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PRESIDENT,"MANGONDATO, FAISAL (KTPNAN)",1,0.15 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PRESIDENT,"MARCOS, BONGBONG (PFP)",290,44.54 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PRESIDENT,"MONTEMAYOR, JOSE JR. (DPP)",1,0.15 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PRESIDENT,"PACQUIAO, MANNY PACMAN(PROMDI)",50,7.68 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PRESIDENT,"ROBREDO, LENI (IND)",271,41.62 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,VICE_PRESIDENT,Candidate,Votes,Percentage
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,VICE_PRESIDENT,"ATIENZA, LITO (PROMDI)",3,0.45 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,VICE_PRESIDENT,"BELLO, WALDEN (PLM)",1,0.15 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,VICE_PRESIDENT,"DAVID, RIZALITO (DPP)",0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,VICE_PRESIDENT,"DUTERTE, SARA (LAKAS)",293,44.80 %
